,0
halflife,67.64214046822742
cmax,62.87625418060201
eliminationhalflife,58.61204013377927
t12,58.36120401337793
tmax,57.859531772575245
clearance,52.59197324414716
bioavailability,52.4247491638796
auc,48.66220735785953
flowrate,46.23745819397993
volumeofdistribution,43.64548494983278
terminalhalflife,42.97658862876254
absolutebioavailability,37.37458193979933
halflive,34.86622073578595
oralbioavailability,34.86622073578595
recovery,31.93979933110368
ic50,31.187290969899667
peakplasmaconcentration,31.103678929765888
relativebioavailability,31.103678929765888
totalbodyclearance,29.180602006688964
eliminationhalflive,29.180602006688964
plasmaclearance,29.180602006688964
recoverie,28.428093645484946
plasmahalflife,28.093645484949832
apparentvolumeofdistribution,27.926421404682273
renalclearance,27.842809364548494
terminaleliminationhalflife,26.672240802675585
totalclearance,25.668896321070235
peakconcentration,25.585284280936456
cl,24.83277591973244
maximumconcentration,24.16387959866221
t12beta,23.494983277591974
mz,23.411371237458194
plasmaconcentration,23.327759197324415
auc0infinity,22.909698996655518
concentration,22.909698996655518
maximumplasmaconcentration,22.5752508361204
retentiontime,22.49163879598662
auc0t,22.40802675585284
eliminationhalflifet12,22.32441471571906
ki,21.48829431438127
meanresidencetime,21.48829431438127
halflifet12,21.40468227424749
areaunderthecurve,21.070234113712374
volumeofdistributionatsteadystate,20.986622073578594
systemicclearance,20.735785953177256
auc0,20.317725752508363
detectionlimit,20.234113712374583
areaunderthecurveauc,20.150501672240804
clf,20.066889632107024
runtime,19.732441471571907
vd,19.565217391304348
m,19.230769230769234
limitofdetection,19.230769230769234
ec50,19.147157190635454
oralclearance,18.729096989966553
maximumplasmaconcentrationcmax,18.645484949832774
totalruntime,18.561872909698995
steadystatevolumeofdistribution,17.05685618729097
auc024,16.387959866220736
totalplasmaclearance,15.802675585284282
urinaryexcretion,15.468227424749164
aucratio,15.301003344481606
km,15.217391304347828
extractionrecovery,15.050167224080269
t12alpha,14.96655518394649
ed50,14.79933110367893
plasmaproteinbinding,14.715719063545151
mrt,14.715719063545151
terminalhalflive,14.464882943143811
clearancecl,14.297658862876252
extractionrecoverie,14.297658862876252
maximumconcentrationcmax,13.795986622073578
plasmaeliminationhalflife,13.628762541806019
v,13.54515050167224
proteinbinding,13.461538461538462
zetapotential,13.043478260869565
areaundertheplasmaconcentrationtimecurve,12.792642140468228
apparentclearance,12.709030100334449
apparentoralclearance,12.62541806020067
troughconcentration,12.45819397993311
steadystateplasmaconcentration,12.37458193979933
meanresidencetimemrt,12.207357859531772
peaklevel,12.207357859531772
ka,12.123745819397994
steadystateconcentration,12.040133779264215
peak,11.956521739130435
f,11.872909698996656
peakplasmalevel,11.789297658862877
peakplasmaconcentrationcmax,11.705685618729097
lagtime,11.454849498327759
peakserumconcentration,11.454849498327759
distributionvolume,11.454849498327759
auc024h,11.37123745819398
